   5721 0	OK
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: generate_soc_vhdl_bundle") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: fs_has_file_or_dir") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: False") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: env_home") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: env_get") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: empty_external_leak_report") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: DNS_TYPE_A") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: dns_split_labels") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: dns_decode_flags") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: dns_create_header") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: default_leak_check_config") 
